SEQ,HEAT_NO,STRAND_NO,MARKING_CODE,CUT_START_TIME,CUT_END_TIME,MOLD_START_TIME,MOLD_END_TIME,TORCH_LENGTH,CAST_LENGTH,CAST_SPEED,REAL_CUT_LENGTH,WEIGHT
8182683,4G8148,2,4G814820815803,2023/07/04 11:50:57,2023/07/04 11:53:11,2023/07/04 11:24:04,2023/07/04 11:26:18,8158,789,1.06,8278,2608
8182705,4G8148,1,4G814810815803,2023/07/04 11:51:36,2023/07/04 11:53:45,2023/07/04 11:24:44,2023/07/04 11:26:53,8158,794,1.061,8358,2602
8182744,4G8148,6,4G814860815804,2023/07/04 11:59:02,2023/07/04 12:01:13,2023/07/04 11:34:53,2023/07/04 11:37:04,8158,800,1.18,8278,2586
8182746,4G8148,5,4G814850815804,2023/07/04 11:59:24,2023/07/04 12:01:23,2023/07/04 11:35:14,2023/07/04 11:37:13,8158,801,1.179,8298,2596
8182723,4G8148,4,4G814840815804,2023/07/04 11:58:36,2023/07/04 12:00:37,2023/07/04 11:34:26,2023/07/04 11:36:27,8158,794,1.179,8268,2606
8182743,4G8148,3,4G814830815804,2023/07/04 11:59:00,2023/07/04 12:00:59,2023/07/04 11:34:51,2023/07/04 11:36:50,8158,799,1.18,8328,2610
8182724,4G8148,2,4G814820815804,2023/07/04 11:58:38,2023/07/04 12:00:42,2023/07/04 11:34:28,2023/07/04 11:36:32,8158,798,1.179,8258,2618
8182745,4G8148,1,4G814810815804,2023/07/04 11:59:15,2023/07/04 12:01:14,2023/07/04 11:35:02,2023/07/04 11:37:01,8158,802,1.177,8328,2588
8182784,4G8148,6,4G814860815805,2023/07/04 12:06:04,2023/07/04 12:08:15,2023/07/04 11:41:54,2023/07/04 11:44:05,8158,808,1.179,8278,2586
8182803,4G8148,5,4G814850815805,2023/07/04 12:06:25,2023/07/04 12:08:24,2023/07/04 11:42:16,2023/07/04 11:44:15,8158,809,1.18,8298,2586
8182763,4G8148,4,4G814840815805,2023/07/04 12:05:35,2023/07/04 12:07:36,2023/07/04 11:41:25,2023/07/04 11:43:26,8158,802,1.179,8268,2584
8182783,4G8148,3,4G814830815805,2023/07/04 12:06:02,2023/07/04 12:08:02,2023/07/04 11:41:53,2023/07/04 11:43:53,8158,807,1.18,8328,2610
8182764,4G8148,2,4G814820815805,2023/07/04 12:05:36,2023/07/04 12:07:42,2023/07/04 11:41:26,2023/07/04 11:43:32,8158,806,1.179,8258,2616
8182785,4G8148,1,4G814810815805,2023/07/04 12:06:15,2023/07/04 12:08:15,2023/07/04 11:42:06,2023/07/04 11:44:06,8158,811,1.18,8328,2588
8182844,4G8148,6,4G814860815806,2023/07/04 12:13:05,2023/07/04 12:15:16,2023/07/04 11:48:56,2023/07/04 11:51:07,8158,817,1.18,8278,2586
8182846,4G8148,5,4G814850815806,2023/07/04 12:13:26,2023/07/04 12:15:25,2023/07/04 11:49:16,2023/07/04 11:51:15,8158,817,1.179,8298,2588
8182823,4G8148,4,4G814840815806,2023/07/04 12:12:34,2023/07/04 12:14:34,2023/07/04 11:48:24,2023/07/04 11:50:24,8158,810,1.179,8268,2576
8182843,4G8148,3,4G814830815806,2023/07/04 12:13:04,2023/07/04 12:15:04,2023/07/04 11:48:54,2023/07/04 11:50:54,8158,815,1.179,8328,2614
8182824,4G8148,2,4G814820815806,2023/07/04 12:12:35,2023/07/04 12:14:39,2023/07/04 11:48:25,2023/07/04 11:50:29,8158,814,1.179,8258,2612
8182845,4G8148,1,4G814810815806,2023/07/04 12:13:18,2023/07/04 12:15:17,2023/07/04 11:49:08,2023/07/04 11:51:07,8158,819,1.179,8328,2596
8182884,4G8148,6,4G814860815807,2023/07/04 12:20:06,2023/07/04 12:22:12,2023/07/04 11:55:54,2023/07/04 11:58:00,8158,825,1.178,8278,2584
8182886,4G8148,5,4G814850815807,2023/07/04 12:20:27,2023/07/04 12:22:26,2023/07/04 11:56:17,2023/07/04 11:58:16,8158,825,1.179,8298,2594
8182863,4G8148,4,4G814840815807,2023/07/04 12:19:33,2023/07/04 12:21:33,2023/07/04 11:55:23,2023/07/04 11:57:23,8158,819,1.179,8268,2564
8182883,4G8148,3,4G814830815807,2023/07/04 12:20:06,2023/07/04 12:22:05,2023/07/04 11:55:54,2023/07/04 11:57:53,8158,824,1.178,8328,2594
8182864,4G8148,2,4G814820815807,2023/07/04 12:19:33,2023/07/04 12:21:38,2023/07/04 11:55:25,2023/07/04 11:57:30,8158,822,1.181,8258,2612
8182885,4G8148,1,4G814810815807,2023/07/04 12:20:20,2023/07/04 12:22:19,2023/07/04 11:56:10,2023/07/04 11:58:09,8158,827,1.179,8328,2590
8182924,4G8148,6,4G814860815808,2023/07/04 12:27:08,2023/07/04 12:29:14,2023/07/04 12:02:58,2023/07/04 12:05:04,8158,833,1.179,8298,2612
8182943,4G8148,5,4G814850815808,2023/07/04 12:27:30,2023/07/04 12:29:28,2023/07/04 12:03:21,2023/07/04 12:05:19,8158,834,1.18,8308,2606
8182903,4G8148,4,4G814840815808,2023/07/04 12:26:33,2023/07/04 12:28:34,2023/07/04 12:02:23,2023/07/04 12:04:24,8158,827,1.179,8268,2608
8182923,4G8148,3,4G814830815808,2023/07/04 12:27:08,2023/07/04 12:29:07,2023/07/04 12:02:56,2023/07/04 12:04:55,8158,832,1.178,8328,2608
8182904,4G8148,2,4G814820815808,2023/07/04 12:26:31,2023/07/04 12:28:35,2023/07/04 12:02:22,2023/07/04 12:04:26,8158,831,1.18,8258,2626
8182925,4G8148,1,4G814810815808,2023/07/04 12:27:22,2023/07/04 12:29:22,2023/07/04 12:03:15,2023/07/04 12:05:15,8158,836,1.182,8328,2602
8182984,4G8149,6,4G814960815801,2023/07/04 12:34:10,2023/07/04 12:36:16,2023/07/04 12:10:00,2023/07/04 12:12:06,8158,841,1.179,8298,2610
8183004,4G8149,5,4G814950815801,2023/07/04 12:34:32,2023/07/04 12:36:30,2023/07/04 12:10:22,2023/07/04 12:12:20,8158,842,1.179,8308,2606
8182963,4G8149,4,4G814940815801,2023/07/04 12:33:33,2023/07/04 12:35:36,2023/07/04 12:09:23,2023/07/04 12:11:26,8158,835,1.179,8268,2624
8182983,4G8149,3,4G814930815801,2023/07/04 12:34:10,2023/07/04 12:36:10,2023/07/04 12:10:00,2023/07/04 12:12:00,8158,840,1.179,8328,2616
8182964,4G8149,2,4G814920815801,2023/07/04 12:33:30,2023/07/04 12:35:36,2023/07/04 12:09:21,2023/07/04 12:11:27,8158,839,1.18,8258,2608
8183003,4G8149,1,4G814910815801,2023/07/04 12:34:24,2023/07/04 12:36:24,2023/07/04 12:10:15,2023/07/04 12:12:15,8158,844,1.18,8328,2606
8183044,4G8149,6,4G814960815802,2023/07/04 12:41:11,2023/07/04 12:43:17,2023/07/04 12:17:01,2023/07/04 12:19:07,8158,850,1.179,8298,2610
8183064,4G8149,5,4G814950815802,2023/07/04 12:41:33,2023/07/04 12:43:32,2023/07/04 12:17:23,2023/07/04 12:19:22,8158,850,1.179,8308,2604
