SEQ,CREATE_DATE,HEAT_NO,GRADE,STEEL_NAME,SPEC_ABBSYM,CAST_SPEED,STRAND_NO,TOUCH_SETTING,REAL_CUT_LENGTH,EA_WGT,REAL_WEIGHT,SHIFT_ID,ITEM_CODE,STEEL_GRP
8182683,20230704120024,4G8148, , ,HBT1**,1.06,2,8158,8278,2586086,2608,C,BL2020,일반강
8182705,20230704120111,4G8148, , ,HBT1**,1.061,1,8158,8358,2586086,2602,C,BL2020,일반강
8182723,20230704120625,4G8148, , ,HBT1**,1.179,4,8158,8268,2586086,2606,C,BL2020,일반강
8182724,20230704120801,4G8148, , ,HBT1**,1.179,2,8158,8258,2586086,2618,C,BL2020,일반강
8182743,20230704120713,4G8148, , ,HBT1**,1.18,3,8158,8328,2586086,2610,C,BL2020,일반강
8182744,20230704120449,4G8148, , ,HBT1**,1.18,6,8158,8278,2586086,2586,C,BL2020,일반강
8182745,20230704120848,4G8148, , ,HBT1**,1.177,1,8158,8328,2586086,2588,C,BL2020,일반강
8182746,20230704120537,4G8148, , ,HBT1**,1.179,5,8158,8298,2586086,2596,C,BL2020,일반강
8182763,20230704121336,4G8148, , ,HBT1**,1.179,4,8158,8268,2586086,2584,C,BL2020,일반강
8182764,20230704121512,4G8148, , ,HBT1**,1.179,2,8158,8258,2586086,2616,C,BL2020,일반강
8182783,20230704121424,4G8148, , ,HBT1**,1.18,3,8158,8328,2586086,2610,C,BL2020,일반강
8182784,20230704121201,4G8148, , ,HBT1**,1.179,6,8158,8278,2586086,2586,C,BL2020,일반강
8182785,20230704121600,4G8148, , ,HBT1**,1.18,1,8158,8328,2586086,2588,C,BL2020,일반강
8182803,20230704121249,4G8148, , ,HBT1**,1.18,5,8158,8298,2586086,2586,C,BL2020,일반강
8182823,20230704122026,4G8148, , ,HBT1**,1.179,4,8158,8268,2586086,2576,C,BL2020,일반강
8182824,20230704122203,4G8148, , ,HBT1**,1.179,2,8158,8258,2586086,2612,C,BL2020,일반강
8182843,20230704122115,4G8148, , ,HBT1**,1.179,3,8158,8328,2586086,2614,C,BL2020,일반강
8182844,20230704121851,4G8148, , ,HBT1**,1.18,6,8158,8278,2586086,2586,C,BL2020,일반강
8182845,20230704122250,4G8148, , ,HBT1**,1.179,1,8158,8328,2586086,2596,C,BL2020,일반강
8182846,20230704121939,4G8148, , ,HBT1**,1.179,5,8158,8298,2586086,2588,C,BL2020,일반강
8182863,20230704122757,4G8148, , ,HBT1**,1.179,4,8158,8268,2586086,2564,C,BL2020,일반강
8182864,20230704122931,4G8148, , ,HBT1**,1.181,2,8158,8258,2586086,2612,C,BL2020,일반강
8182883,20230704122844,4G8148, , ,HBT1**,1.178,3,8158,8328,2586086,2594,C,BL2020,일반강
8182884,20230704122620,4G8148, , ,HBT1**,1.178,6,8158,8278,2586086,2584,C,BL2020,일반강
8182885,20230704123019,4G8148, , ,HBT1**,1.179,1,8158,8328,2586086,2590,C,BL2020,일반강
8182886,20230704122708,4G8148, , ,HBT1**,1.179,5,8158,8298,2586086,2594,C,BL2020,일반강
8182903,20230704123501,4G8148, , ,HBT1**,1.179,4,8158,8268,2586086,2608,C,BL2020,일반강
8182904,20230704123637,4G8148, , ,HBT1**,1.18,2,8158,8258,2586086,2626,C,BL2020,일반강
8182923,20230704123549,4G8148, , ,HBT1**,1.178,3,8158,8328,2586086,2608,C,BL2020,일반강
8182924,20230704123325,4G8148, , ,HBT1**,1.179,6,8158,8298,2586086,2612,C,BL2020,일반강
8182925,20230704123724,4G8148, , ,HBT1**,1.182,1,8158,8328,2586086,2602,C,BL2020,일반강
8182943,20230704123413,4G8148, , ,HBT1**,1.18,5,8158,8308,2586086,2606,C,BL2020,일반강
8182963,20230704124131,4G8149, , ,HBT1**,1.179,4,8158,8268,2586086,2624,C,BL2020,일반강
8182964,20230704124305,4G8149, , ,HBT1**,1.18,2,8158,8258,2586086,2608,C,BL2020,일반강
8182983,20230704124218,4G8149, , ,HBT1**,1.179,3,8158,8328,2586086,2616,C,BL2020,일반강
8182984,20230704123957,4G8149, , ,HBT1**,1.179,6,8158,8298,2586086,2610,C,BL2020,일반강
8183003,20230704124352,4G8149, , ,HBT1**,1.18,1,8158,8328,2586086,2606,C,BL2020,일반강
8183004,20230704124044,4G8149, , ,HBT1**,1.179,5,8158,8308,2586086,2606,C,BL2020,일반강
8183023,20230704125018,4G8149, , ,HBT1**,1.178,2,8158,8258,2586086,2610,C,BL2020,일반강
8183024,20230704124843,4G8149, , ,HBT1**,1.18,4,8158,8268,2586086,2628,C,BL2020,일반강
8183043,20230704124931,4G8149, , ,HBT1**,1.179,3,8158,8328,2586086,2612,C,BL2020,일반강
8183044,20230704124709,4G8149, , ,HBT1**,1.179,6,8158,8298,2586086,2610,C,BL2020,일반강
8183063,20230704125105,4G8149, , ,HBT1**,1.179,1,8158,8328,2586086,2612,C,BL2020,일반강
8183064,20230704124758,4G8149, , ,HBT1**,1.179,5,8158,8308,2586086,2604,C,BL2020,일반강
8183083,20230704135416,4G8149, , ,HBT1**,1.179,2,8158,8258,2586086,2572,C,BL2020,일반강
8183084,20230704135229,4G8149, , ,HBT1**,1.179,4,8158,8268,2586086,2600,C,BL2020,일반강
8183103,20230704135328,4G8149, , ,HBT1**,1.176,3,8158,8328,2586086,2638,C,BL2020,일반강
8183104,20230704125423,4G8149, , ,HBT1**,1.18,6,8158,8298,2586086,2614,C,BL2020,일반강
8183123,20230704125818,4G8149, , ,HBT1**,1.18,1,8158,8328,2586086,2598,C,BL2020,일반강
8183124,20230704135143,4G8149, , ,HBT1**,1.179,5,8158,8308,2586086,2626,C,BL2020,일반강
8183143,20230704130508,4G8149, , ,HBT1**,1.181,2,8158,8258,2586086,2576,C,BL2020,일반강
8183144,20230704130332,4G8149, , ,HBT1**,1.179,4,8158,8268,2586086,2602,C,BL2020,일반강
8183163,20230704130419,4G8149, , ,HBT1**,1.179,3,8158,8328,2586086,2616,C,BL2020,일반강
8183164,20230704130157,4G8149, , ,HBT1**,1.18,6,8158,8268,2586086,2604,C,BL2020,일반강
8183183,20230704130554,4G8149, , ,HBT1**,1.179,1,8158,8328,2586086,2592,C,BL2020,일반강
8183203,20230704130244,4G8149, , ,HBT1**,1.14,5,8158,,2586086,2604,C,BL2020,일반강
8183223,20230704131331,4G8149, , ,HBT1**,1.177,2,8158,8258,2586086,2572,C,BL2020,일반강
8183224,20230704131155,4G8149, , ,HBT1**,1.179,4,8158,8248,2586086,2604,C,BL2020,일반강
8183243,20230704131243,4G8149, , ,HBT1**,1.182,3,8158,8298,2586086,2600,C,BL2020,일반강
8183244,20230704131023,4G8149, , ,HBT1**,1.178,6,8158,8268,2586086,2600,C,BL2020,일반강
8183263,20230704131110,4G8149, , ,HBT1**,1.15,5,8158,8308,2586086,2610,C,BL2020,일반강
8183283,20230704131934,4G8149, , ,HBT1**,1.149,1,8158,8328,2586086,2608,C,BL2020,일반강
8183303,20230704131848,4G8149, , ,HBT1**,1.15,2,8158,8258,2586086,2578,C,BL2020,일반강
8183304,20230704131713,4G8149, , ,HBT1**,1.149,4,8158,8248,2586086,2602,C,BL2020,일반강
8183323,20230704131801,4G8149, , ,HBT1**,1.149,3,8158,8298,2586086,2598,C,BL2020,일반강
8183343,20230704131627,4G8149, , ,HBT1**,1.149,6,8158,8268,2586086,2584,C,BL2020,일반강
8183383,20230704132702,4G8149, , ,HBT1**,1.15,1,8158,8328,2586086,2602,C,BL2020,일반강
8183423,20230704132613,4G8149, , ,HBT1**,1.15,2,8158,8258,2586086,2578,C,BL2020,일반강
8183424,20230704132439,4G8149, , ,HBT1**,1.15,4,8158,8248,2586086,2608,C,BL2020,일반강
8183443,20230704132527,4G8149, , ,HBT1**,1.149,3,8158,8298,2586086,2606,C,BL2020,일반강
8183463,20230704132352,4G8149, , ,HBT1**,1.149,6,8158,8268,2586086,2602,C,BL2020,일반강
8183663,20230704135054,4G8149, , ,HBT1**,0,6,8158,,2586086,2846,C,BL2020,일반강
8183683,20230705005856,4G8149, , ,HBT1**,0,1,8158,,2586086,4,C,BL2020,일반강
8183923,20230705015934,4G8150, , ,0AM3**,0.56,5,11350,11350,6730550,6852,D,BB300,일반강
8183943,20230705020023,4G8150, , ,0AM3**,0.559,2,11350,11350,6730550,6802,D,BB300,일반강
